

Windows-1252;;kunta_1_20210101#sairaanhoitop_1_20210101;;
sourcecode;sourcename;targetcode;targetname
"'244'";"Kempele";"'18'";"North Ostrobothnia Hospital District"
"'245'";"Kerava";"'25'";"Helsinki and Uusimaa Hospital District"
"'249'";"Keuruu";"'14'";"Central Finland Hospital District"
"'250'";"Kihniö";"'06'";"Pirkanmaa Hospital District"
"'256'";"Kinnula";"'14'";"Central Finland Hospital District"
"'257'";"Kirkkonummi";"'25'";"Helsinki and Uusimaa Hospital District"
"'260'";"Kitee";"'12'";"North Karelia Hospital District"
"'261'";"Kittilä";"'21'";"Lappi Hospital District"
"'263'";"Kiuruvesi";"'13'";"North Savo Hospital District"
"'265'";"Kivijärvi";"'14'";"Central Finland Hospital District"
"'271'";"Kokemäki";"'04'";"Satakunta Hospital District"
"'272'";"Kokkola";"'17'";"Central Ostrobothnia Hospital District"
"'273'";"Kolari";"'21'";"Lappi Hospital District"
"'275'";"Konnevesi";"'14'";"Central Finland Hospital District"
"'276'";"Kontiolahti";"'12'";"North Karelia Hospital District"
"'280'";"Korsnäs";"'16'";"Vaasa Hospital District"
"'284'";"Koski Tl";"'03'";"Southwest Finland Hospital District"
"'285'";"Kotka";"'08'";"Kymenlaakso Hospital District"
"'286'";"Kouvola";"'08'";"Kymenlaakso Hospital District"
"'287'";"Kristiinankaupunki";"'16'";"Vaasa Hospital District"
"'288'";"Kruunupyy";"'17'";"Central Ostrobothnia Hospital District"
"'290'";"Kuhmo";"'19'";"Kainuu Hospital District"
"'291'";"Kuhmoinen";"'06'";"Pirkanmaa Hospital District"
"'295'";"Kumlinge";"'00'";"Åland"
"'297'";"Kuopio";"'13'";"North Savo Hospital District"
"'300'";"Kuortane";"'15'";"South Ostrobothnia Hospital District"
"'301'";"Kurikka";"'15'";"South Ostrobothnia Hospital District"
"'304'";"Kustavi";"'03'";"Southwest Finland Hospital District"
"'305'";"Kuusamo";"'18'";"North Ostrobothnia Hospital District"
"'312'";"Kyyjärvi";"'14'";"Central Finland Hospital District"
"'316'";"Kärkölä";"'07'";"Päijät-Häme Hospital District"
"'317'";"Kärsämäki";"'18'";"North Ostrobothnia Hospital District"
"'318'";"Kökar";"'00'";"Åland"
"'398'";"Lahti";"'07'";"Päijät-Häme Hospital District"
"'399'";"Laihia";"'16'";"Vaasa Hospital District"
"'400'";"Laitila";"'03'";"Southwest Finland Hospital District"
"'407'";"Lapinjärvi";"'25'";"Helsinki and Uusimaa Hospital District"
"'402'";"Lapinlahti";"'13'";"North Savo Hospital District"
"'403'";"Lappajärvi";"'15'";"South Ostrobothnia Hospital District"
"'405'";"Lappeenranta";"'09'";"South Karelia Hospital District"
"'408'";"Lapua";"'15'";"South Ostrobothnia Hospital District"
"'410'";"Laukaa";"'14'";"Central Finland Hospital District"
"'416'";"Lemi";"'09'";"South Karelia Hospital District"
"'417'";"Lemland";"'00'";"Åland"
"'418'";"Lempäälä";"'06'";"Pirkanmaa Hospital District"
"'420'";"Leppävirta";"'13'";"North Savo Hospital District"
"'421'";"Lestijärvi";"'17'";"Central Ostrobothnia Hospital District"
"'422'";"Lieksa";"'12'";"North Karelia Hospital District"
"'423'";"Lieto";"'03'";"Southwest Finland Hospital District"
"'425'";"Liminka";"'18'";"North Ostrobothnia Hospital District"
"'426'";"Liperi";"'12'";"North Karelia Hospital District"
"'444'";"Lohja";"'25'";"Helsinki and Uusimaa Hospital District"
"'430'";"Loimaa";"'03'";"Southwest Finland Hospital District"
"'433'";"Loppi";"'05'";"Kanta-Häme Hospital District"
"'434'";"Loviisa";"'25'";"Helsinki and Uusimaa Hospital District"
"'435'";"Luhanka";"'14'";"Central Finland Hospital District"
"'436'";"Lumijoki";"'18'";"North Ostrobothnia Hospital District"
"'438'";"Lumparland";"'00'";"Åland"
"'440'";"Luoto";"'16'";"Vaasa Hospital District"
"'441'";"Luumäki";"'09'";"South Karelia Hospital District"
"'475'";"Maalahti";"'16'";"Vaasa Hospital District"
"'478'";"Maarianhamina - Mariehamn";"'00'";"Åland"
"'480'";"Marttila";"'03'";"Southwest Finland Hospital District"
"'481'";"Masku";"'03'";"Southwest Finland Hospital District"
"'483'";"Merijärvi";"'18'";"North Ostrobothnia Hospital District"
"'484'";"Merikarvia";"'04'";"Satakunta Hospital District"
"'489'";"Miehikkälä";"'08'";"Kymenlaakso Hospital District"
"'491'";"Mikkeli";"'10'";"South Savo Hospital District"
"'494'";"Muhos";"'18'";"North Ostrobothnia Hospital District"
"'495'";"Multia";"'14'";"Central Finland Hospital District"
"'498'";"Muonio";"'21'";"Lappi Hospital District"
"'499'";"Mustasaari";"'16'";"Vaasa Hospital District"
"'500'";"Muurame";"'14'";"Central Finland Hospital District"
"'503'";"Mynämäki";"'03'";"Southwest Finland Hospital District"
"'504'";"Myrskylä";"'07'";"Päijät-Häme Hospital District"
"'505'";"Mäntsälä";"'25'";"Helsinki and Uusimaa Hospital District"
"'508'";"Mänttä-Vilppula";"'06'";"Pirkanmaa Hospital District"
"'507'";"Mäntyharju";"'10'";"South Savo Hospital District"
"'529'";"Naantali";"'03'";"Southwest Finland Hospital District"
"'531'";"Nakkila";"'04'";"Satakunta Hospital District"
"'535'";"Nivala";"'18'";"North Ostrobothnia Hospital District"
"'536'";"Nokia";"'06'";"Pirkanmaa Hospital District"
"'538'";"Nousiainen";"'03'";"Southwest Finland Hospital District"
"'541'";"Nurmes";"'12'";"North Karelia Hospital District"
"'543'";"Nurmijärvi";"'25'";"Helsinki and Uusimaa Hospital District"
"'545'";"Närpiö";"'16'";"Vaasa Hospital District"
"'560'";"Orimattila";"'07'";"Päijät-Häme Hospital District"
"'561'";"Oripää";"'03'";"Southwest Finland Hospital District"
"'562'";"Orivesi";"'06'";"Pirkanmaa Hospital District"
"'563'";"Oulainen";"'18'";"North Ostrobothnia Hospital District"
"'564'";"Oulu";"'18'";"North Ostrobothnia Hospital District"
"'309'";"Outokumpu";"'12'";"North Karelia Hospital District"
"'576'";"Padasjoki";"'07'";"Päijät-Häme Hospital District"
"'577'";"Paimio";"'03'";"Southwest Finland Hospital District"
"'578'";"Paltamo";"'19'";"Kainuu Hospital District"
"'445'";"Parainen";"'03'";"Southwest Finland Hospital District"
"'580'";"Parikkala";"'09'";"South Karelia Hospital District"
"'581'";"Parkano";"'06'";"Pirkanmaa Hospital District"
"'599'";"Pedersören kunta";"'16'";"Vaasa Hospital District"
"'583'";"Pelkosenniemi";"'21'";"Lappi Hospital District"
"'854'";"Pello";"'21'";"Lappi Hospital District"
"'584'";"Perho";"'17'";"Central Ostrobothnia Hospital District"
"'588'";"Pertunmaa";"'10'";"South Savo Hospital District"
"'592'";"Petäjävesi";"'14'";"Central Finland Hospital District"
"'593'";"Pieksämäki";"'10'";"South Savo Hospital District"
"'595'";"Pielavesi";"'13'";"North Savo Hospital District"
"'598'";"Pietarsaari";"'16'";"Vaasa Hospital District"
"'601'";"Pihtipudas";"'14'";"Central Finland Hospital District"
"'604'";"Pirkkala";"'06'";"Pirkanmaa Hospital District"
"'607'";"Polvijärvi";"'12'";"North Karelia Hospital District"
"'608'";"Pomarkku";"'04'";"Satakunta Hospital District"
"'609'";"Pori";"'04'";"Satakunta Hospital District"
"'611'";"Pornainen";"'25'";"Helsinki and Uusimaa Hospital District"
"'638'";"Porvoo";"'25'";"Helsinki and Uusimaa Hospital District"
"'614'";"Posio";"'21'";"Lappi Hospital District"
"'615'";"Pudasjärvi";"'18'";"North Ostrobothnia Hospital District"
"'616'";"Pukkila";"'07'";"Päijät-Häme Hospital District"
"'619'";"Punkalaidun";"'03'";"Southwest Finland Hospital District"
"'620'";"Puolanka";"'19'";"Kainuu Hospital District"
"'623'";"Puumala";"'10'";"South Savo Hospital District"
"'624'";"Pyhtää";"'08'";"Kymenlaakso Hospital District"
"'625'";"Pyhäjoki";"'18'";"North Ostrobothnia Hospital District"
"'626'";"Pyhäjärvi";"'18'";"North Ostrobothnia Hospital District"
"'630'";"Pyhäntä";"'18'";"North Ostrobothnia Hospital District"
"'631'";"Pyhäranta";"'03'";"Southwest Finland Hospital District"
"'635'";"Pälkäne";"'06'";"Pirkanmaa Hospital District"
"'636'";"Pöytyä";"'03'";"Southwest Finland Hospital District"
"'678'";"Raahe";"'18'";"North Ostrobothnia Hospital District"
"'710'";"Raasepori";"'25'";"Helsinki and Uusimaa Hospital District"
"'680'";"Raisio";"'03'";"Southwest Finland Hospital District"
"'681'";"Rantasalmi";"'11'";"Itä-Savo Hospital District"
"'683'";"Ranua";"'21'";"Lappi Hospital District"
"'684'";"Rauma";"'04'";"Satakunta Hospital District"
"'686'";"Rautalampi";"'13'";"North Savo Hospital District"
"'687'";"Rautavaara";"'13'";"North Savo Hospital District"
"'689'";"Rautjärvi";"'09'";"South Karelia Hospital District"
"'691'";"Reisjärvi";"'17'";"Central Ostrobothnia Hospital District"
"'694'";"Riihimäki";"'05'";"Kanta-Häme Hospital District"
"'697'";"Ristijärvi";"'19'";"Kainuu Hospital District"
"'698'";"Rovaniemi";"'21'";"Lappi Hospital District"
"'700'";"Ruokolahti";"'09'";"South Karelia Hospital District"
"'702'";"Ruovesi";"'06'";"Pirkanmaa Hospital District"
"'704'";"Rusko";"'03'";"Southwest Finland Hospital District"
"'707'";"Rääkkylä";"'12'";"North Karelia Hospital District"
"'729'";"Saarijärvi";"'14'";"Central Finland Hospital District"
"'732'";"Salla";"'21'";"Lappi Hospital District"
"'734'";"Salo";"'03'";"Southwest Finland Hospital District"
"'736'";"Saltvik";"'00'";"Åland"
"'790'";"Sastamala";"'06'";"Pirkanmaa Hospital District"
"'738'";"Sauvo";"'03'";"Southwest Finland Hospital District"
"'739'";"Savitaipale";"'09'";"South Karelia Hospital District"
"'740'";"Savonlinna";"'11'";"Itä-Savo Hospital District"
"'742'";"Savukoski";"'21'";"Lappi Hospital District"
"'743'";"Seinäjoki";"'15'";"South Ostrobothnia Hospital District"
"'746'";"Sievi";"'18'";"North Ostrobothnia Hospital District"
"'747'";"Siikainen";"'04'";"Satakunta Hospital District"
"'748'";"Siikajoki";"'18'";"North Ostrobothnia Hospital District"
"'791'";"Siikalatva";"'18'";"North Ostrobothnia Hospital District"
"'749'";"Siilinjärvi";"'13'";"North Savo Hospital District"
"'751'";"Simo";"'20'";"Länsi-Pohja Hospital District"
"'753'";"Sipoo";"'25'";"Helsinki and Uusimaa Hospital District"
"'755'";"Siuntio";"'25'";"Helsinki and Uusimaa Hospital District"
"'758'";"Sodankylä";"'21'";"Lappi Hospital District"
"'759'";"Soini";"'15'";"South Ostrobothnia Hospital District"
"'761'";"Somero";"'03'";"Southwest Finland Hospital District"
"'762'";"Sonkajärvi";"'13'";"North Savo Hospital District"
"'765'";"Sotkamo";"'19'";"Kainuu Hospital District"
"'766'";"Sottunga";"'00'";"Åland"
"'768'";"Sulkava";"'11'";"Itä-Savo Hospital District"
"'771'";"Sund";"'00'";"Åland"
"'777'";"Suomussalmi";"'19'";"Kainuu Hospital District"
"'778'";"Suonenjoki";"'13'";"North Savo Hospital District"
"'781'";"Sysmä";"'07'";"Päijät-Häme Hospital District"
"'783'";"Säkylä";"'04'";"Satakunta Hospital District"
"'831'";"Taipalsaari";"'09'";"South Karelia Hospital District"
"'832'";"Taivalkoski";"'18'";"North Ostrobothnia Hospital District"
"'833'";"Taivassalo";"'03'";"Southwest Finland Hospital District"
"'834'";"Tammela";"'05'";"Kanta-Häme Hospital District"
"'837'";"Tampere";"'06'";"Pirkanmaa Hospital District"
"'844'";"Tervo";"'13'";"North Savo Hospital District"
"'845'";"Tervola";"'20'";"Länsi-Pohja Hospital District"
"'846'";"Teuva";"'15'";"South Ostrobothnia Hospital District"
"'848'";"Tohmajärvi";"'12'";"North Karelia Hospital District"
"'849'";"Toholampi";"'17'";"Central Ostrobothnia Hospital District"
"'850'";"Toivakka";"'14'";"Central Finland Hospital District"
"'851'";"Tornio";"'20'";"Länsi-Pohja Hospital District"
"'853'";"Turku";"'03'";"Southwest Finland Hospital District"
"'857'";"Tuusniemi";"'13'";"North Savo Hospital District"
"'858'";"Tuusula";"'25'";"Helsinki and Uusimaa Hospital District"
"'859'";"Tyrnävä";"'18'";"North Ostrobothnia Hospital District"
"'886'";"Ulvila";"'04'";"Satakunta Hospital District"
"'887'";"Urjala";"'06'";"Pirkanmaa Hospital District"
"'889'";"Utajärvi";"'18'";"North Ostrobothnia Hospital District"
"'890'";"Utsjoki";"'21'";"Lappi Hospital District"
"'892'";"Uurainen";"'14'";"Central Finland Hospital District"
"'893'";"Uusikaarlepyy";"'16'";"Vaasa Hospital District"
"'895'";"Uusikaupunki";"'03'";"Southwest Finland Hospital District"
"'785'";"Vaala";"'18'";"North Ostrobothnia Hospital District"
"'905'";"Vaasa";"'16'";"Vaasa Hospital District"
"'908'";"Valkeakoski";"'06'";"Pirkanmaa Hospital District"
"'092'";"Vantaa";"'25'";"Helsinki and Uusimaa Hospital District"
"'915'";"Varkaus";"'13'";"North Savo Hospital District"
"'918'";"Vehmaa";"'03'";"Southwest Finland Hospital District"
"'921'";"Vesanto";"'13'";"North Savo Hospital District"
"'922'";"Vesilahti";"'06'";"Pirkanmaa Hospital District"
"'924'";"Veteli";"'17'";"Central Ostrobothnia Hospital District"
"'925'";"Vieremä";"'13'";"North Savo Hospital District"
"'927'";"Vihti";"'25'";"Helsinki and Uusimaa Hospital District"
"'931'";"Viitasaari";"'14'";"Central Finland Hospital District"
"'934'";"Vimpeli";"'15'";"South Ostrobothnia Hospital District"
"'935'";"Virolahti";"'08'";"Kymenlaakso Hospital District"
"'936'";"Virrat";"'06'";"Pirkanmaa Hospital District"
"'941'";"Vårdö";"'00'";"Åland"
"'946'";"Vöyri";"'16'";"Vaasa Hospital District"
"'976'";"Ylitornio";"'20'";"Länsi-Pohja Hospital District"
"'977'";"Ylivieska";"'18'";"North Ostrobothnia Hospital District"
"'980'";"Ylöjärvi";"'06'";"Pirkanmaa Hospital District"
"'981'";"Ypäjä";"'05'";"Kanta-Häme Hospital District"
"'989'";"Ähtäri";"'15'";"South Ostrobothnia Hospital District"
"'992'";"Äänekoski";"'14'";"Central Finland Hospital District"
"manual1";"Honkajoki";"manual1";"Satakunta Hospital District"
"manual2";"Valtimo";"manual2";"North Karelia Hospital District"
"'s149'";"Ingå";"'25'";"Helsinki and Uusimaa Hospital District"
"'s322'";"Kimitoön";"'03'";"Southwest Finland Hospital District"
"'s287'";"Kristinestad";"'16'";"Vaasa Hospital District"
"'s445'";"Pargas";"'03'";"Southwest Finland Hospital District"
"'s499'";"Korsholm";"'16'";"Vaasa Hospital District"
"'s598'";"Jakobstad";"'16'";"Vaasa Hospital District"
"'s599'";"Pedersöre";"'16'";"Vaasa Hospital District"
"'s893'";"Nykarleby";"'16'";"Vaasa Hospital District"
"'s288'";"Kronoby";"'17'";"Central Ostrobothnia Hospital District"
"'s475'";"Malax";"'16'";"Vaasa Hospital District"
"'s440'";"Larsmo";"'16'";"Vaasa Hospital District"
"'s545'";"Närpes";"'16'";"Vaasa Hospital District"
"'s478'";"Mariehamn";"'00'";"Åland"
"'s284'";"Tl";"'03'";"Southwest Finland Hospital District"
